Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,ROI,Name,Slide Number,Animal,Group,Sex,Section,Section-Slice,BrainArea,BrainAreaComp,Program,,ROI_1_Blank_Area,ROI_1_HScore_1,ROI_1_HScore_2,ROI_1_Heme_Area,ROI_1_MAP2_Area,ROI_1_Total_Area,Per_Heme,Per_Map,Ratio,Tissue_Gaps,Gap_Adj
2162_40x-3,2162,1798,L/H,M,β02,2,A4-5,A4,2024-04-01-Map2,ROI_1,2162_40x-3,2162,1798,L/H,M,β02,2,A4-5,2024-04-01-Map2,,TRUE,636824.9842,78.6717296,160.4821536,3249616.774,25707079.06,29593520.82,11.2223328,88.7776672,0.126409413,2.151906791,2.199232218
3290_40x-1-4,3290,1921,N,M,β01,1,A4-5,A4,2024-04-01-Map2,ROI_1,3290_40x-1-4,3290,1921,RV 10,M,β01,1,A4-5,2024-04-01-Map2,,TRUE,2539654.248,154.5472004,142.2231776,30526544.6,6918294.904,39984493.76,81.52403644,18.47596356,4.412437606,6.351597855,6.782387857
3663_40x-1,3663,1889,N,F,α03,3,A1-3,A1,2024-04-01-Map2,ROI_1,3663_40x-1,3663,1889,N,F,α03,3,A1-3,2024-04-01-Map2,,TRUE,997882.1322,132.9219791,174.8943919,4250902.391,5891717.888,11140502.41,41.91128401,58.08871599,0.721504741,8.957245333,9.8385043
3663_40x-2,3663,1889,N,F,α03,3,A1-3,A1,2024-04-01-Map2,ROI_1,3663_40x-2,3663,1889,N,F,α03,3,A1-3,2024-04-01-Map2,,TRUE,905249.1684,86.89853469,176.6148587,4396246.462,19392393.95,24693889.58,18.48044439,81.51955561,0.226699523,3.665883276,3.80538422
3663_40x-3,3663,1889,N,F,α03,3,A1-3,A1,2024-04-01-Map2,ROI_1,3663_40x-3,3663,1889,N,F,α03,3,A1-3,2024-04-01-Map2,,TRUE,2004032.193,87.96475945,164.4337599,6509900.396,29441693.41,37955626,18.10740417,81.89259583,0.221111616,5.279934503,5.574251322
4460_40x-1-3,4460,1921,N,M,α01,1,A1-3,A1,2024-04-01-Map2,ROI_1,4460_40x-1-3,4460,1921,RV 10,M,α01,1,A1-3,2024-04-01-Map2,,TRUE,574269.2352,151.720872,199.89266,4907895.276,5149758.471,10631922.98,48.79761621,51.20238379,0.95303407,5.401367526,5.70977337
1919-01-A_40X_4,4049,1919,N,F,01A,1,A1,A1,2024-04-01-Map2,ROI_1,1919-01-A_40X_4,4049,1919,RV 10,F,01A,1,A1,2024-04-01-Map2,,TRUE,1717135.129,105.5096882,141.0785618,3479081.484,11260362.1,16456578.71,23.60388616,76.39611384,0.308967105,10.43433851,11.64993183
1919-03-A_40x-2,4961,1919,N,F,03A,3,A3,A3,2024-04-01-Map2,ROI_1,1919-03-A_40x-2,4961,1919,RV 10,F,03A,3,A3,2024-04-01-Map2,,TRUE,4376267.41,120.6464909,129.1072624,6177591.115,21578152.23,32132010.75,22.25698313,77.74301687,0.286289162,13.61965002,15.76706974
1919-03-A_40x-3,4961,1919,N,F,03A,3,A3,A3,2024-04-01-Map2,ROI_1,1919-03-A_40x-3,4961,1919,RV 10,F,03A,3,A3,2024-04-01-Map2,,TRUE,3668298.418,121.1649277,134.8286415,8335312.02,18119112.61,30122723.05,31.50819622,68.49180378,0.460028711,12.17784465,13.86648347
1919-04-A_40x-1,3545,1919,N,F,04A,4,A4,A4,2024-04-01-Map2,ROI_1,1919-04-A_40x-1,3545,1919,RV 10,F,04A,4,A4,2024-04-01-Map2,,TRUE,3641826.767,125.9927057,135.0269992,4849653.645,24556966.83,33048447.24,16.49170686,83.50829314,0.197485857,11.01966074,12.38437708
1919-04-A_40x-2,3545,1919,N,F,04A,4,A4,A4,2024-04-01-Map2,ROI_1,1919-04-A_40x-2,3545,1919,RV 10,F,04A,4,A4,2024-04-01-Map2,,TRUE,4432341.174,122.8652113,133.1071951,5893791.433,27957167.3,38283299.91,17.41100298,82.58899702,0.210815043,11.57774065,13.09369465
1919-05-A-40x-1,4546,1919,N,F,05A,5,A5,A5,2024-04-01-Map2,ROI_1,1919-05-A-40x-1,4546,1919,RV 10,F,05A,5,A5,2024-04-01-Map2,,TRUE,5281753.46,129.7988026,142.1250228,13738329.8,14435658.9,33455742.16,48.76245941,51.23754059,0.951693989,15.78728529,18.7469141
