Sample Number,Read Concentration (mg/ml),Read Concentration (ug/ml),Grp,Time,Sex,IL-18,IL-18-R2,IL-1b,IL-6,IL-10,TNF-a
9078,14.17693399,14176.93399,RV (P7),48 HR,F,16059.3666,,,,,
9079,9.394836704,9394.836704,RV (P7),96 HR,F,,,,,,
9080,11.53381836,11533.81836,Naïve,24 HR,M,18155.78631,,,,,
9081,12.00172059,12001.72059,Naïve,24 HR,F,17715.362,,,,,
9082,10.73980244,10739.80244,RV (P10),24 HR,F,20076.0363,,,,,
9083,11.65535141,11655.35141,RV (P10),48 HR,F,15985.96255,,,,,
9084,14.20146877,14201.46877,RV (P10),96 HR,F,14180.22288,,,,,
9085,10.46027643,10460.27643,Naïve,96 HR,F,15977.15406,,,,,
9086,10.59801388,10598.01388,RV (P10),24 HR,M,21021.48048,,,,,
9087,10.58586058,10585.86058,RV (P10),48 HR,M,16834.51339,,,,,
9088,12.04223161,12042.23161,RV (P7),96 HR,M,15419.28327,,,,,
9089,11.91867301,11918.67301,RV (P7),96 HR,M,18751.82721,,,,,
9090,15.1595543,15159.5543,RV (P10),24 HR,M,15287.15598,,,,,
9091,12.44038921,12440.38921,RV (P10),96 HR,M,13184.86394,,,,,
9092,12.28253256,12282.53256,RV (P10),24 HR,F,31720.85503,,,,,
9093,9.078818962,9078.818962,RV (P10),96 HR,F,15833.28212,,,,,
9094,15.13689128,15136.89128,S/H,24 HR,F,17128.12959,,,,,
9095,17.55390946,17553.90946,S/H,24 HR,M,12735.63115,,,,,
9096,19.13765156,19137.65156,RV (P10),96 HR,M,11176.52909,,,,,
9097,14.36313493,14363.13493,RV (P7),24 HR,M,16455.74848,,,,,
9098,12.31617414,12316.17414,RV (P7),48 HR,M,15064.00766,,,,,
9099,14.62191632,14621.91632,RV (P10),48 HR,M,12471.37656,,,,,
9100,11.01967938,11019.67938,RV (P10),48 HR,F,22216.49844,,,,,
9101,13.16756491,13167.56491,S/H,96 HR,F,13337.54437,,,,,
9102,13.41858286,13418.58286,S/H,96 HR,M,13478.48015,,,,,
9103,12.70952185,12709.52185,RV (P10),96 HR,F,16558.51415,,,,,
9104,18.3820099,18382.0099,RV (P10),48 HR,F,11619.88957,,,,,
9105,11.97199489,11971.99489,RV (P10),96 HR,M,19982.07911,,,,,
9106,16.67146492,16671.46492,RV (P10),48 HR,F,11731.46372,,,,,
9107,11.86848234,11868.48234,S/H,48 HR,M,20848.24692,,,,,
9108,12.71987311,12719.87311,Naïve,48 HR,F,16969.57684,,,,,
9109,17.32618183,17326.18183,RV (P7),96 HR,F,14694.05124,,,,,
9110,16.28846846,16288.46846,Naïve,48 HR,M,13854.30889,,,,,
9111,13.02005952,13020.05952,Naïve,48 HR,M,16696.51377,,,,,
9112,13.66183736,13661.83736,Naïve,48 HR,F,16990.12997,,,,,
9113,17.68071234,17680.71234,L/H,24 HR,M,20962.75724,,,,,
9114,12.0236589,12023.6589,L/H,24 HR,M,16438.13151,,,,,
9115,12.80467224,12804.67224,L/H,96 HR,M,15560.21905,,,,,
9116,14.06538203,14065.38203,L/H,96 HR,F,14098.01035,,,,,
9117,13.2843687,13284.3687,Naïve,96 HR,F,20155.17301,,,,,
9118,12.41657611,12416.57611,RV (P10),96 HR,M,14879.33091,,,,,
9119,14.38598319,14385.98319,L/H,48 HR,F,11621.61179,,,,,
9120,14.53784689,14537.84689,L/H,48 HR,M,11905.05603,,,,,
9121,15.31803825,15318.03825,S/H,24 HR,M,12437.9312,,,,,
,,,,,,,,,,,
9000,8.679054327,8679.054327,S/H,48 HR,M,11245.55938,,,,,
9001,8.824897978,8824.897978,RV (P7),48 HR,M,14483.95698,,,,,
9002,8.949472764,8949.472764,S/H,24 HR,M,22115.00574,,,,,
9003,7.870837428,7870.837428,S/H,24 HR,M,18887.42082,,,,,
9004,9.028471408,9028.471408,Naïve,96 HR,M,15365.19038,,,,,
9005,8.817301955,8817.301955,RV (P7),96 HR,M,14965.12123,,,,,
9006,7.486478639,7486.478639,RV (P10),24 HR,M,13837.89936,,,,,
9007,7.78728117,7787.28117,RV (P10),24 HR,F,12618.76971,,,,,
9008,7.966547324,7966.547324,RV (P10),24 HR,F,17122.25085,,,,,
9009,9.036067431,9036.067431,RV (P10),24 HR,M,14456.92528,,,,,
9010,9.283697797,9283.697797,RV (P7),96 HR,F,16011.248,,,,,
9011,8.238484965,8238.484965,RV (P7),96 HR,F,16451.8647,,,,,
9012,7.946797663,7946.797663,RV (P7),96 HR,M,16676.22781,,,,,
9013,8.864397301,8864.397301,S/H,48 HR,M,14948.90221,,,,,
9014,10.16635573,10166.35573,Naïve,96 HR,M,14135.24805,,,,,
9015,8.151890297,8151.890297,Naïve,96 HR,F,13697.33452,,,,,
9016,7.094523827,7094.523827,RV (P7),24 HR,F,15135.42093,,,,,
9017,8.223292918,8223.292918,RV (P7),24 HR,F,15865.27682,,,,,
9018,7.691571274,7691.571274,RV (P7),24 HR,M,15319.23649,,,,,
9019,6.869681532,6869.681532,RV (P7),24 HR,M,18733.34014,,,,,
9020,8.180755186,8180.755186,RV (P7),24 HR,M,16535.66297,,,,,
9021,7.228213841,7228.213841,RV (P7),24 HR,F,15992.32581,,,,,
9022,8.396059487,8396.059487,S/H,48 HR,M,15411.14427,,,,,
9023,9.898662803,9898.662803,S/H,48 HR,F,12578.22216,,,,,
9024,9.112859007,9112.859007,S/H,48 HR,F,14973.23074,,,,,
9025,11.09285925,11092.85925,S/H,96 HR,M,13448.64289,,,,,
9026,11.81106702,11811.06702,S/H,96 HR,F,14978.63708,,,,,
9027,10.71122336,10711.22336,S/H,96 HR,F,14202.8273,,,,,
9028,9.624053949,9624.053949,RV (P7),48 HR,F,20320.1009,,,,,
9029,9.308605831,9308.605831,RV (P7),48 HR,F,14054.15295,,,,,
9030,10.36197723,10361.97723,Naïve,48 HR,M,14600.19328,,,,,
9031,11.19143679,11191.43679,Naïve,48 HR,F,14770.49299,,,,,
9032,10.20425317,10204.25317,Naïve,48 HR,F,17357.42663,,,,,
9033,9.870497792,9870.497792,RV (P7),48 HR,F,13683.81867,,,,,
9034,11.06891899,11068.91899,RV (P10),48 HR,M,17957.53036,,,,,
9035,9.390284361,9390.284361,RV (P10),48 HR,M,15794.9944,,,,,
9036,9.445206132,9445.206132,L/H,24 HR,M,19246.94243,,,,,
9037,10.35071122,10350.71122,L/H,24 HR,F,22363.69738,,,,,
9038,8.515760782,8515.760782,S/H,24 HR,F,16011.248,,,,,
9039,9.853580975,9853.580975,S/H,24 HR,M,17637.32657,,,,,
9040,10.55394288,10553.94288,S/H,96 HR,F,19532.99275,,,,,
9041,11.90609572,11906.09572,S/H,96 HR,M,28458.06359,,,,,
9042,8.371383302,8371.383302,S/H,96 HR,M,23933.34002,,,,,
9043,16.25868044,16258.68044,L/H,24 HR,F,13567.21978,,,,,
9044,16.97941081,16979.41081,L/H,24 HR,M,14180.52354,,,,,
9045,13.83013245,13830.13245,L/H,96 HR,F,16003.27948,,,,,
9046,12.39180532,12391.80532,L/H,96 HR,M,15750.23807,,,,,
9047,14.02441629,14024.41629,L/H,96 HR,F,15660.17248,,,,,
9048,11.46112306,11461.12306,L/H,48 HR,M,17238.46468,,,,,
9049,12.82110993,12821.10993,L/H,48 HR,F,18855.35642,,,,,
9050,16.34955514,16349.55514,L/H,48 HR,F,20142.00767,,,,,
9051,11.68987661,11689.87661,L/H,48 HR,M,17435.75121,,,,,
9052,11.49872639,11498.72639,L/H,24 HR,F,17281.35306,,,,,
9053,13.29428509,13294.28509,L/H,24 HR,F,14935.35894,,,,,
9054,15.32799818,15327.99818,L/H,48 HR,M,13258.42348,,,,,
9055,13.46036644,13460.36644,L/H,48 HR,F,14690.89521,,,,,
9056,12.27272813,12272.72813,L/H,96 HR,M,16071.90088,,,,,
9057,13.00285933,13002.85933,L/H,96 HR,F,15998.99064,,,,,
9058,11.88102684,11881.02684,RV (P7),48 HR,M,17757.41402,,,,,
9059,12.52341695,12523.41695,RV (P7),48 HR,M,15934.65808,,,,,
9060,11.19476619,11194.76619,RV (P7),48 HR,F,16946.82373,,,,,
9061,14.9080944,14908.0944,L/H,96 HR,M,14116.19098,,,,,
9062,12.54722405,12547.22405,Naïve,96 HR,M,17427.17353,,,,,
9063,11.9125922,11912.5922,RV (P10),96 HR,F,21154.17332,,,,,
9064,12.09435569,12094.35569,S/H,24 HR,F,16316.36462,,,,,
9065,12.97236577,12972.36577,S/H,24 HR,F,14206.25657,,,,,
9066,12.6427269,12642.7269,S/H,48 HR,F,13490.02071,,,,,
9067,13.65320868,13653.20868,S/H,48 HR,F,12379.21179,,,,,
9068,11.57063038,11570.63038,Naïve,24 HR,M,16595.13906,,,,,
