R0001,GFAP,0,25.07,,,Variant,Number,Sample,Time,,Class,Group,0,Average,0.1,0.2,0.3,0.4,0.5,0.6,Average,DeltaCq,DeltaDeltaCt,DeltaDeltaCt-SH,FoldChange,FoldChange-SH,,DeltaCqExp,DeltaCqExp,,FoldChange-N,FoldChange-SH,,,,,,,,,
R0022,IL-1B,0.2,35.13,,,0,18,R0018,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,28.81,28.81,33.85,35.04,34.17,,,,34.35333333,5.543333333,5.543333333,5.543333333,0.021443239,0.021443239,,0.021443239,0.021443239,,0.023905884,1.489650836,,,,,,,,,
R0022,IL-1B,0.3,35.22,,,0.1,18,R0018,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,28.81,28.81,33.85,33.85,33.85,,,,33.85,5.04,5.04,5.04,0.030395467,0.030395467,,0.030395467,0.030395467,,0.033886229,2.111557517,,,,,,,,,
R0023,GFAP,0,29.62,,,0.2,18,R0018,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,28.81,28.81,35.04,35.04,35.04,,,,35.04,6.23,6.23,6.23,0.01332242,0.01332242,,0.01332242,0.01332242,,0.014852431,0.9255017,,,,,,,,,
R0023,IL-1B,0.1,35.42,,,0.3,18,R0018,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,28.81,28.81,34.17,34.17,34.17,,,,34.17,5.36,5.36,5.36,0.024348893,0.024348893,,0.024348893,0.024348893,,0.027145237,1.691505122,,,,,,,,,
R0023,IL-1B,0.2,35.93,,,0.4,18,R0018,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,28.81,28.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0023,IL-1B,0.3,35.35,,,0,19,R0019,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.92,26.92,35.46,34.44,34.2,,,,34.7,7.78,7.78,7.78,0.004549741,0.004549741,,0.004549741,0.004549741,,0.005072255,0.316068145,,,,,,,,,
R0024,GFAP,0,31.79,,,0.1,19,R0019,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.92,26.92,35.46,35.46,35.46,,,,35.46,8.54,8.54,8.54,0.002686605,0.002686605,,0.002686605,0.002686605,,0.002995148,0.18663708,,,,,,,,,
R0024,IL-1B,0.1,35.22,,,0.2,19,R0019,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.92,26.92,34.44,34.44,34.44,,,,34.44,7.52,7.52,7.52,0.005448217,0.005448217,,0.005448217,0.005448217,,0.006073917,0.378484873,,,,,,,,,
R0024,IL-1B,0.2,35.21,,,0.3,19,R0019,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.92,26.92,34.2,34.2,34.2,,,,34.2,7.28,7.28,7.28,0.006434305,0.006434305,,0.006434305,0.006434305,,0.007173251,0.446987857,,,,,,,,,
R0024,IL-1B,0.3,34.86,,,0.4,19,R0019,48,RV (P7) ,RV (P7) 48 HR,Treatment 2,26.92,26.92,,,,,,,,,,,,,,,,,,,,,,,,,,,
R0025,GFAP,0,29.89,,,0,20,R0020,24,L/H,L/H 24 HR,Treatment 1,27.21,27.21,34.84,34.52,33.7,,,,34.35333333,7.143333333,6.802223667,6.842234808,0.008960384,0.008715295,,0.007073631,0.007073631,,0.683141381,0.597943357,,,,,,,,,
R0025,IL-1B,0.1,35.57,,,0.1,20,R0020,24,L/H,L/H 24 HR,Treatment 1,27.21,27.21,34.84,34.84,34.84,,,,34.84,7.63,7.288890333,7.328901475,0.006394777,0.006219863,,0.005048253,0.005048253,,0.487538962,0.426735507,,,,,,,,,
R0025,IL-1B,0.2,35.54,,,0.2,20,R0020,24,L/H,L/H 24 HR,Treatment 1,27.21,27.21,34.52,34.52,34.52,,,,34.52,7.31,6.968890333,7.008901475,0.007982795,0.007764445,,0.006301889,0.006301889,,0.60860978,0.53270697,,,,,,,,,
R0025,IL-1B,0.3,35.25,,,0.3,20,R0020,24,L/H,L/H 24 HR,Treatment 1,27.21,27.21,33.7,33.7,33.7,,,,33.7,6.49,6.148890333,6.188901475,0.014092874,0.013707398,,0.011125392,0.011125392,,1.074443353,0.940444077,,,,,,,,,
